,No_Die,Ox_Chamber,photo_soft_Chamber,lithography_Chamber,Etching_Chamber,Chamber_Num,Sum,Target
1194,NOLSM3441320,3,1,1,1,1,31111,174
1195,NOLSM406161406,3,1,1,1,1,31111,139
1196,NOLSM652254652,3,1,1,1,1,31111,48
1197,NOLSM840323,3,1,1,1,1,31111,60
1198,NOLSM655257655,3,1,1,1,1,31111,495
1199,NOLSM3921514,3,1,1,1,1,31111,110
1200,NOLSM14267,3,1,1,1,1,31111,147
1201,NOLSM16674166,3,1,1,1,1,31111,60
1202,NOLSM6902615,3,1,1,1,1,31111,168
1203,NOLSM16371163,3,1,1,1,1,31111,96
1204,NOLSM242926,3,1,1,1,1,31111,90
1205,NOLSM412167412,3,1,1,1,1,31111,234
1206,NOLSM407162407,3,1,1,2,2,31122,118
1207,NOLSM656258656,3,1,1,2,2,31122,477
1208,NOLSM413168413,3,1,1,2,2,31122,159
1209,NOLSM16472164,3,1,1,2,2,31122,79
1210,NOLSM650252650,3,1,1,2,2,31122,84
1211,NOLSM653255653,3,1,1,2,2,31122,15
1212,NOLSM16775167,3,1,1,2,2,31122,105
1213,NOLSM410165410,3,1,1,2,2,31122,57
1214,NOLSM17078170,3,1,1,2,2,31122,180
1215,NOLSM3171220,3,1,1,3,3,31133,112
1216,NOLSM414169414,3,1,1,3,3,31133,162
1217,NOLSM21791,3,1,1,3,3,31133,110
1218,NOLSM2661023,3,1,1,3,3,31133,72
1219,NOLSM18118,3,1,1,3,3,31133,83
1220,NOLSM17179171,3,1,1,3,3,31133,71
1221,NOLSM16876168,3,1,1,3,3,31133,118
1222,NOLSM16573165,3,1,1,3,3,31133,61
1223,NOLSM68314,3,1,1,3,3,31133,99
1224,NOLSM7672911,3,1,1,3,3,31133,6
1225,NOLSM4171612,3,1,1,3,3,31133,97
1226,NOLSM16876,3,1,1,3,3,31133,118
1227,NOLSM515202,3,1,1,3,3,31133,87
1228,NOLSM411166411,3,1,1,3,3,31133,136
1229,NOLSM3691418,3,1,1,3,3,31133,272
1230,NOLSM464185,3,1,1,3,3,31133,24
1231,NOLSM651253651,3,1,1,3,3,31133,30
1232,NOLSM654256654,3,1,1,3,3,31133,237
1233,NOLSM7172715,3,1,1,3,3,31133,54
1234,NOLSM816316,3,1,1,3,3,31133,84
1235,NOLSM657259657,3,1,1,3,3,31133,444
1236,NOLSM6662518,3,1,1,3,3,31133,198
1237,NOLSM5652125,3,1,1,3,3,31133,57
1238,NOLSM408163408,3,1,1,3,3,31133,187
1239,NOLSM6172323,3,1,1,3,3,31133,99
1240,NOLSM11557,3,1,1,3,3,31133,151
1241,NOLSM4181613418,3,1,2,1,1,31211,86
1242,NOLSM4211616421,3,1,2,1,1,31211,84
1243,NOLSM6612513661,3,1,2,1,1,31211,300
1244,NOLSM178716178,3,1,2,1,1,31211,72
1245,NOLSM175713175,3,1,2,1,1,31211,56
1246,NOLSM6582510658,3,1,2,1,1,31211,459
