PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,FUR_EXTEMP,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR
PB563209,2008-08-01:21:10:48,양품,GL-A36-TM,T7,40.35,3081,23209,22650,3호기,2,1162,74,1136,101,289,1125,813,적용,6,2조
PB563210,2008-08-01:21:10:37,양품,NK-KD36-TM,T7,40.35,2751,23376,61110,1호기,1,1156,77,1128,126,304,1119,816,적용,6,2조
PB563211,2008-08-01:21:11:20,양품,NK-KD36-TM,T7,40.35,2641,23358,58620,2호기,2,1166,69,1118,141,308,1103,818,적용,6,2조
PB563212,2008-08-01:21:12:39,불량,GL-D36-TM,T7,40.35,2517,25612,40840,2호기,1,1149,73,1119,131,306,1110,818,미적용,6,1조
PB563213,2008-08-01:21:12:23,양품,GL-D36-TM,T7,40.35,2517,25612,40840,1호기,1,1172,89,1135,113,299,1128,816,적용,6,1조
PB563214,2008-08-01:21:12:16,양품,GL-A36-TM,T7,40.35,3081,23209,67950,3호기,1,1174,104,1134,85,307,1125,819,적용,6,2조
PB563215,2008-08-01:21:13:39,양품,GL-A36-TM,T7,40.35,3081,23209,67950,3호기,2,1159,87,1131,106,304,1123,816,적용,6,1조
PB563216,2008-08-01:21:14:11,양품,GL-D36-TM,T7,40.35,2517,25612,40840,1호기,2,1135,75,1120,130,320,1113,817,적용,6,4조
PB563217,2008-08-01:21:14:53,양품,GL-D36-TM,T7,40.35,2517,25612,40840,2호기,1,1151,93,1121,127,327,1110,817,적용,6,2조
PB563218,2008-08-01:21:15:56,양품,GL-A36-TM,T7,40.35,2511,22669,36060,2호기,2,1174,91,1118,135,339,1113,815,적용,6,4조
PB563219,2008-08-01:22:20:26,양품,NV-D36-TM,T7,44.39,2245,22766,17810,1호기,2,1149,82,1126,123,320,1118,816,적용,6,3조
